Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1983 1 1 1 0 0 0.395819 0.189974 0.585793 1.37636e+07 1.04165e+07 1.97885e+06 1.84599e+06 0.0048618 0.0048618 8974.82 8974.82 1 0.021 66915.8 1405.23 0 0 
1983 1 1 2 0 0 0.352847 0.688323 1.04117 5.34279e+07 3.31988e+07 2.28515e+07 2.89709e+07 0.00973705 0.00973705 282091 282091 1 0.801 520230 416705 0 0 
1983 1 1 3 0 0 0.295101 1.00549 1.3006 3.20452e+06 1.7928e+06 1.80265e+06 772469 0.0171762 0.0171762 13268.1 13268.1 1 0.988 55041.4 54380.9 0 0 
1983 1 1 4 0 0 0.269117 1.00549 1.27461 202475 114447 115075 320070 0.0205468 0.0205468 6576.43 6576.43 1 1 4160.21 4160.21 0 0 
1983 2 1 0 0 0 0.511974 0.012187 0.524161 3.07789e+08 2.39548e+08 2.91937e+06 1.02226e+07 0.00330879 0.00330879 33824.4 33824.4 1 0 1.01841e+06 0 0 0 
1983 2 1 1 0 0 0.480756 0.0620548 0.542811 7.66169e+06 5.91253e+06 366901 263866 0.00401463 0.00401463 1059.32 1059.32 1 0.021 30758.9 645.936 0 0 
1983 2 1 2 0 0 0.388363 0.22484 0.613203 1.88623e+07 1.41001e+07 3.17026e+06 3.08503e+06 0.00828264 0.00828264 25552.2 25552.2 1 0.801 156229 125140 0 0 
1983 2 1 3 0 0 0.355307 0.328444 0.683751 872813 632228 207651 564013 0.0131614 0.0131614 7423.22 7423.22 1 0.988 11487.5 11349.6 0 0 
1983 2 1 4 0 0 0.351067 0.328444 0.67951 56599.7 41075.6 13491 2198.88 0.0115649 0.0115649 25.4297 25.4297 1 1 654.567 654.567 0 0 
1984 1 1 1 0 0 0.400692 0.216954 0.617646 1.82227e+08 1.35948e+08 2.94946e+07 4.71171e+07 0.00546153 0.00546153 257331 257331 1 0.021 995238 20900 0 0 
1984 1 1 2 0 0 0.359702 0.78608 1.14578 4.4523e+06 2.65023e+06 2.08329e+06 1.70111e+06 0.0101074 0.0101074 17193.7 17193.7 1 0.801 45001.1 36045.9 0 0 
1984 1 1 3 0 0 0.274046 1.1483 1.42234 1.02161e+07 5.45049e+06 6.25878e+06 1.00025e+07 0.0140566 0.0140566 140600 140600 1 0.988 143602 141879 0 0 
1984 1 1 4 0 0 0.255654 1.1483 1.40395 469215 252120 289509 333197 0.0134165 0.0134165 4470.32 4470.32 1 1 6295.2 6295.2 0 0 
1984 2 1 0 0 0 0.501684 0.0133118 0.514996 7.61377e+07 5.95057e+07 792126 0 0.00368394 0.00368394 0 0 1 0 280487 0 0 0 
1984 2 1 1 0 0 0.466168 0.067782 0.53395 9.8259e+07 7.61331e+07 5.16045e+06 9.24129e+06 0.00732208 0.00732208 67665.4 67665.4 1 0.021 719460 15108.7 0 0 
1984 2 1 2 0 0 0.386275 0.245591 0.631866 1.41572e+06 1.04947e+06 257741 89838.4 0.0128095 0.0128095 1150.78 1150.78 1 0.801 18134.6 14525.9 0 0 
1984 2 1 3 0 0 0.336395 0.358757 0.695152 2.46358e+06 1.77552e+06 636981 566198 0.0168425 0.0168425 9536.16 9536.16 1 0.988 41492.8 40994.9 0 0 
1984 2 1 4 0 0 0.34811 0.358757 0.706866 115251 82633 29645.1 42957.7 0.0157961 0.0157961 678.564 678.564 1 1 1820.51 1820.51 0 0 
1985 1 1 1 0 0 0.384902 0.231529 0.616431 4.54925e+07 3.39577e+07 7.8622e+06 6.21684e+06 0.00507786 0.00507786 31568.3 31568.3 1 0.021 231005 4851.1 0 0 
1985 1 1 2 0 0 0.346352 0.838889 1.18524 5.76077e+07 3.37473e+07 2.83102e+07 3.13643e+07 0.00915445 0.00915445 287123 287123 1 0.801 527367 422421 0 0 
1985 1 1 3 0 0 0.29004 1.22544 1.51548 752597 387501 474858 1.98716e+06 0.0163999 0.0163999 32589.2 32589.2 1 0.988 12342.5 12194.4 0 0 
1985 1 1 4 0 0 0.264157 1.22544 1.4896 1.28617e+06 668760 819525 211484 0.0178896 0.0178896 3783.37 3783.37 1 1 23009 23009 0 0 
1985 2 1 0 0 0 0.515995 0.0142823 0.530277 5.18904e+08 4.02731e+08 5.75194e+06 8.52406e+06 0.0029841 0.0029841 25436.7 25436.7 1 0 1.54846e+06 0 0 0 
1985 2 1 1 0 0 0.468187 0.072724 0.540911 2.456e+07 1.89693e+07 1.37953e+06 1.35357e+06 0.00584444 0.00584444 7910.86 7910.86 1 0.021 143539 3014.32 0 0 
1985 2 1 2 0 0 0.384666 0.263497 0.648163 1.76091e+07 1.29588e+07 3.41462e+06 2.30521e+06 0.0106746 0.0106746 24607.2 24607.2 1 0.801 187971 150565 0 0 
1985 2 1 3 0 0 0.363462 0.384914 0.748376 165348 116407 44806.6 1.59487e+06 0.0128942 0.0128942 20564.6 20564.6 1 0.988 2132.03 2106.44 0 0 
1985 2 1 4 0 0 0.344414 0.384914 0.729328 289984 205866 79240.9 212744 0.0165975 0.0165975 3531.02 3531.02 1 1 4813 4813 0 0 
1986 1 1 1 0 0 0.375586 0.180173 0.55576 3.05345e+08 2.34252e+08 4.2206e+07 4.49397e+07 0.00529385 0.00529385 237904 237904 1 0.021 1.61645e+06 33945.4 0 0 
1986 1 1 2 0 0 0.342321 0.652813 0.995134 1.42992e+07 9.05726e+06 5.91269e+06 7.55329e+06 0.0117065 0.0117065 88422.5 88422.5 1 0.801 167394 134083 0 0 
1986 1 1 3 0 0 0.282014 0.953622 1.23564 9.20966e+06 5.28706e+06 5.04185e+06 1.65219e+06 0.0116861 0.0116861 19307.6 19307.6 1 0.988 107625 106333 0 0 
1986 1 1 4 0 0 0.267111 0.953622 1.22073 218071 125939 120098 30901.2 0.0135576 0.0135576 418.948 418.948 1 1 2956.53 2956.53 0 0 
1986 2 1 0 0 0 0.531211 0.00474636 0.535958 7.74872e+07 5.99838e+07 284705 87141.1 0.00298063 0.00298063 259.735 259.735 1 0 230960 0 0 0 
1986 2 1 1 0 0 0.477662 0.0241679 0.50183 1.75157e+08 1.37722e+08 3.32846e+06 4.16254e+06 0.00745594 0.00745594 31035.7 31035.7 1 0.021 1.30596e+06 27425.1 0 0 
1986 2 1 2 0 0 0.412134 0.0875665 0.4997 5.28606e+06 4.16037e+06 364309 227967 0.0126971 0.0126971 2894.52 2894.52 1 0.801 67117.4 53761.1 0 0 
1986 2 1 3 0 0 0.379668 0.127916 0.507584 2.67679e+06 2.09916e+06 268517 187509 0.0127752 0.0127752 2395.47 2395.47 1 0.988 34196.5 33786.2 0 0 
1986 2 1 4 0 0 0.360619 0.127916 0.488535 64334.1 50894.1 6510.18 14004.8 0.0146781 0.0146781 205.564 205.564 1 1 944.301 944.301 0 0 
1987 1 1 1 0 0 0.387399 0.117623 0.505022 4.53385e+07 3.55966e+07 4.18699e+06 4.504e+06 0.00715293 0.00715293 32216.8 32216.8 1 0.021 324303 6810.36 0 0 
1987 1 1 2 0 0 0.349411 0.426179 0.77559 1.06044e+08 7.37733e+07 3.14406e+07 2.35717e+07 0.0106181 0.0106181 250288 250288 1 0.801 1.12599e+06 901916 0 0 
1987 1 1 3 0 0 0.286902 0.622557 0.909459 3.20712e+06 2.10617e+06 1.31121e+06 1.19872e+06 0.0184988 0.0184988 22174.9 22174.9 1 0.988 59327.8 58615.9 0 0 
1987 1 1 4 0 0 0.271239 0.622557 0.893796 1.65076e+06 1.09134e+06 679420 170802 0.0147187 0.0147187 2513.99 2513.99 1 1 24297 24297 0 0 
1987 2 1 0 0 0 0.537637 0.00822168 0.545858 4.68821e+07 3.61288e+07 297040 186628 0.00402264 0.00402264 750.735 750.735 1 0 188590 0 0 0 
1987 2 1 1 0 0 0.47658 0.0418638 0.518444 2.73614e+07 2.13507e+07 893823 1.9383e+06 0.00784818 0.00784818 15212.1 15212.1 1 0.021 214737 4509.48 0 0 
1987 2 1 2 0 0 0.418229 0.151683 0.569912 4.88259e+07 3.72184e+07 5.6454e+06 4.17345e+06 0.0112314 0.0112314 46873.8 46873.8 1 0.801 548386 439257 0 0 
1987 2 1 3 0 0 0.381382 0.221577 0.602959 1.29164e+06 969996 214929 122748 0.0201833 0.0201833 2477.46 2477.46 1 0.988 26069.5 25756.7 0 0 
1987 2 1 4 0 0 0.366019 0.221577 0.587596 675325 510679 113155 31939.6 0.0160738 0.0160738 513.391 513.391 1 1 10855 10855 0 0 
1988 1 1 1 0 0 0.394122 0.196746 0.590867 2.71609e+07 2.05087e+07 4.035e+06 1.99696e+06 0.0061208 0.0061208 12223 12223 1 0.021 166246 3491.17 0 0 
1988 1 1 2 0 0 0.360197 0.712859 1.07306 1.62923e+07 9.99102e+06 7.12219e+06 8.56424e+06 0.0103786 0.0103786 88884.9 88884.9 1 0.801 169091 135442 0 0 
1988 1 1 3 0 0 0.297752 1.04134 1.33909 2.76148e+07 1.52173e+07 1.58464e+07 1.52293e+07 0.0159637 0.0159637 243116 243116 1 0.988 440835 435545 0 0 
1988 1 1 4 0 0 0.292881 1.04134 1.33422 1.08203e+06 597398 622092 2.35402e+06 0.017758 0.017758 41802.6 41802.6 1 1 19214.6 19214.6 0 0 
1988 2 1 0 0 0 0.54597 0.00477271 0.550743 2.05021e+08 1.57645e+08 752394 0 0.00393409 0.00393409 0 0 1 0 806570 0 0 0 
1988 2 1 1 0 0 0.475009 0.0243021 0.499311 1.5043e+07 1.18416e+07 287777 0 0.00682887 0.00682887 0 0 1 0.021 102726 2157.25 0 0 
1988 2 1 2 0 0 0.418519 0.0880526 0.506571 5.57133e+06 4.37111e+06 384888 161558 0.0120218 0.0120218 1942.22 1942.22 1 0.801 66977.4 53648.9 0 0 
1988 2 1 3 0 0 0.372786 0.128626 0.501412 7.2374e+06 5.69171e+06 732103 1.43883e+06 0.0170481 0.0170481 24529.5 24529.5 1 0.988 123384 121904 0 0 
1988 2 1 4 0 0 0.366103 0.128626 0.49473 284967 224794 28914.4 46948.5 0.024442 0.024442 1147.51 1147.51 1 1 6965.15 6965.15 0 0 
1989 1 1 1 0 0 0.415694 0.670702 1.0864 1.18199e+08 7.20869e+07 4.83488e+07 6.25027e+07 0.00498354 0.00498354 311485 311485 1 0.021 589048 12370 0 0 
1989 1 1 2 0 0 0.381899 0.884995 1.26689 9.13031e+06 5.17664e+06 4.5813e+06 6.36362e+06 0.00862559 0.00862559 54890 54890 1 0.801 78754.3 63082.2 0 0 
1989 1 1 3 0 0 0.31859 0.872802 1.19139 3.35705e+06 1.96173e+06 1.7122e+06 1.34585e+06 0.00905536 0.00905536 12187.2 12187.2 1 0.988 30399.3 30034.5 0 0 
1989 1 1 4 0 0 0.290792 0.872802 1.16359 4.55727e+06 2.69317e+06 2.3506e+06 4.7365e+06 0.0120466 0.0120466 57058.6 57058.6 1 1 54899.4 54899.4 0 0 
1989 2 1 0 0 0 0.523023 0.00117318 0.524196 9.34941e+07 7.27642e+07 85365.4 467.877 0.00621381 0.00621381 2.9073 2.9073 1 0 580954 0 0 0 
1989 2 1 1 0 0 0.448891 0.0270735 0.475964 3.98838e+07 3.17347e+07 859170 757493 0.0096339 0.0096339 7297.62 7297.62 1 0.021 384237 8068.98 0 0 
1989 2 1 2 0 0 0.393401 0.0357237 0.429125 2.57205e+06 2.09134e+06 74710.3 77199.8 0.0155247 0.0155247 1198.51 1198.51 1 0.801 39930.4 31984.3 0 0 
1989 2 1 3 0 0 0.365748 0.0352315 0.40098 1.01987e+06 840189 29601.1 16375.7 0.0171969 0.0171969 281.612 281.612 1 0.988 17538.6 17328.1 0 0 
1989 2 1 4 0 0 0.356954 0.0352315 0.392185 1.42352e+06 1.17755e+06 41486.9 57548.9 0.0282663 0.0282663 1626.69 1626.69 1 1 40237.5 40237.5 0 0 
1990 1 1 1 0 0 0.40157 0.651655 1.05322 5.53514e+07 3.42227e+07 2.23014e+07 1.68463e+07 0.00661143 0.00661143 111378 111378 1 0.021 365952 7685 0 0 
1990 1 1 2 0 0 0.343173 0.859863 1.20304 2.47793e+07 1.44123e+07 1.23926e+07 1.39168e+07 0.00962998 0.00962998 134019 134019 1 0.801 238624 191138 0 0 
1990 1 1 3 0 0 0.29181 0.848016 1.13983 1.67461e+06 999227 847360 2.05955e+06 0.0142239 0.0142239 29294.9 29294.9 1 0.988 23819.5 23533.7 0 0 
1990 1 1 4 0 0 0.285141 0.848016 1.13316 1.64466e+06 984028 834471 621957 0.0169916 0.0169916 10568 10568 1 1 27945.5 27945.5 0 0 
1990 2 1 0 0 0 0.543411 0.00195191 0.545363 1.32179e+08 1.01884e+08 198870 521856 0.00500976 0.00500976 2614.37 2614.37 1 0 662186 0 0 0 
1990 2 1 1 0 0 0.475775 0.0450444 0.520819 1.93072e+07 1.50495e+07 677896 1.257e+06 0.00897962 0.00897962 11287.4 11287.4 1 0.021 173371 3640.79 0 0 
1990 2 1 2 0 0 0.404175 0.0594364 0.463611 7.44074e+06 5.95425e+06 353899 416960 0.0130851 0.0130851 5455.98 5455.98 1 0.801 97363.2 77987.9 0 0 
1990 2 1 3 0 0 0.367537 0.0586175 0.426155 535665 436151 25566.1 62063.2 0.0193258 0.0193258 1199.42 1199.42 1 0.988 10352.1 10227.9 0 0 
1990 2 1 4 0 0 0.368295 0.0586175 0.426913 529607 431066 25268 18356.7 0.0230855 0.0230855 423.773 423.773 1 1 12226.2 12226.2 0 0 
1991 1 1 1 0 0 0.394066 0.373391 0.767456 7.66153e+07 5.34897e+07 1.99726e+07 1.49386e+07 0.00779886 0.00779886 116504 116504 1 0.021 597512 12547.7 0 0 
1991 1 1 2 0 0 0.329801 0.492692 0.822493 1.14691e+07 7.81811e+06 3.85192e+06 6.86977e+06 0.0141629 0.0141629 97295.7 97295.7 1 0.801 162436 130111 0 0 
1991 1 1 3 0 0 0.2462 0.485903 0.732104 4.68029e+06 3.31859e+06 1.61252e+06 983098 0.0378024 0.0378024 37163.4 37163.4 1 0.988 176926 174803 0 0 
1991 1 1 4 0 0 0.245573 0.485903 0.731477 695377 493198 239647 338126 0.0196013 0.0196013 6627.71 6627.71 1 1 13630.3 13630.3 0 0 
1991 2 1 0 0 0 0.549777 0.00526425 0.555042 1.61729e+08 1.24115e+08 653371 7.34359e+06 0.00375643 0.00375643 27585.7 27585.7 1 0 607524 0 0 0 
1991 2 1 1 0 0 0.451794 0.121483 0.573277 3.55642e+07 2.70681e+07 3.28833e+06 6.91686e+06 0.00613177 0.00613177 42412.6 42412.6 1 0.021 218071 4579.5 0 0 
1991 2 1 2 0 0 0.385651 0.160298 0.545949 5.03879e+06 3.88289e+06 622421 208518 0.01181 0.01181 2462.6 2462.6 1 0.801 59508.1 47666 0 0 
1991 2 1 3 0 0 0.349013 0.15809 0.507103 2.25073e+06 1.76543e+06 279097 67283.4 0.0319872 0.0319872 2152.21 2152.21 1 0.988 71994.7 71130.7 0 0 
1991 2 1 4 0 0 0.354593 0.15809 0.512683 334614 261796 41387.2 0 0.0171578 0.0171578 0 0 1 1 5741.23 5741.23 0 0 
1992 1 1 1 0 0 0.39139 0.645097 1.03649 9.28404e+07 5.78011e+07 3.72873e+07 5.08834e+07 0.00778906 0.00778906 396334 396334 1 0.021 723140 15185.9 0 0 
1992 1 1 2 0 0 0.31261 0.85121 1.16382 2.00467e+07 1.18457e+07 1.00832e+07 8.45091e+06 0.011872 0.011872 100329 100329 1 0.801 237993 190633 0 0 
1992 1 1 3 0 0 0.233517 0.839482 1.073 2.91893e+06 1.79004e+06 1.50271e+06 845007 0.017682 0.017682 14941.4 14941.4 1 0.988 51612.5 50993.2 0 0 
1992 1 1 4 0 0 0.235205 0.839482 1.07469 1.55587e+06 953478 800428 523702 0.0190325 0.0190325 9967.37 9967.37 1 1 29612.2 29612.2 0 0 
1992 2 1 0 0 0 0.533079 0.00329714 0.536376 3.62905e+07 2.80876e+07 92608.7 104413 0.00493269 0.00493269 515.036 515.036 1 0 179010 0 0 0 
1992 2 1 1 0 0 0.424299 0.0760884 0.500387 3.29304e+07 2.59096e+07 1.97142e+06 3.04121e+06 0.00953331 0.00953331 28992.8 28992.8 1 0.021 313935 6592.65 0 0 
1992 2 1 2 0 0 0.365457 0.100399 0.465857 6.26039e+06 5.00451e+06 502449 297654 0.0152849 0.0152849 4549.61 4549.61 1 0.801 95689.3 76647.1 0 0 
1992 2 1 3 0 0 0.327794 0.0990158 0.42681 998219 812525 80452.8 122334 0.0196919 0.0196919 2408.99 2408.99 1 0.988 19656.8 19420.9 0 0 
1992 2 1 4 0 0 0.335485 0.0990158 0.434501 531182 430828 42658.8 26492.8 0.0211753 0.0211753 560.992 560.992 1 1 11247.9 11247.9 0 0 
1993 1 1 1 0 0 0.399754 0.284416 0.68417 2.1225e+07 1.53716e+07 4.37193e+06 2.18091e+06 0.007334 0.007334 15994.8 15994.8 1 0.021 155664 3268.95 0 0 
1993 1 1 2 0 0 0.340489 0.375288 0.715778 1.99655e+07 1.42588e+07 5.35117e+06 5.88223e+06 0.0114754 0.0114754 67500.7 67500.7 1 0.801 229112 183519 0 0 
1993 1 1 3 0 0 0.2524 0.370118 0.622517 3.929e+06 2.92479e+06 1.08252e+06 1.63838e+06 0.0144173 0.0144173 23621 23621 1 0.988 56645.8 55966 0 0 
1993 1 1 4 0 0 0.233913 0.370118 0.604031 995412 747174 276542 491024 0.0202074 0.0202074 9922.31 9922.31 1 1 20114.7 20114.7 0 0 
1993 2 1 0 0 0 0.511967 0.00149161 0.513459 1.49627e+08 1.17024e+08 174554 1.6241e+06 0.00401517 0.00401517 6521.03 6521.03 1 0 600777 0 0 0 
1993 2 1 1 0 0 0.392222 0.0344221 0.426644 1.07082e+07 8.71688e+06 300053 362388 0.00750659 0.00750659 2720.3 2720.3 1 0.021 80382.1 1688.02 0 0 
1993 2 1 2 0 0 0.324686 0.0454202 0.370107 9.75939e+06 8.15701e+06 370493 271130 0.0104751 0.0104751 2840.11 2840.11 1 0.801 102230 81886.6 0 0 
1993 2 1 3 0 0 0.315059 0.0447944 0.359854 2.10827e+06 1.77062e+06 79313.9 156038 0.0136024 0.0136024 2122.49 2122.49 1 0.988 28677.6 28333.4 0 0 
